gvkey,cnms,ctype,salecs,srcdate,conm,tic,cusip,CIK,sic,Symbol,GICS Sector,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1440,Other Operating Revenues,MARKET,0.1,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Provision for Rate Refund,MARKET,-5.2,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Other,MARKET,43.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Generation-Nonaffiliated,MARKET,264.4,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Other Electric,MARKET,93.8,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Retail-Commercial,MARKET,1148.8,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Other Electric Revenues,MARKET,0.3,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Wholesale-Transmission,MARKET,437.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Other,MARKET,13.7,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
1440,Wholesale-Off-System,MARKET,814.5,2019-12-31,AMERICAN ELECTRIC POWER CO,AEP,025537101,4904.0,4911,AEP,Utilities,2019,2085.8,75892.3,6143.7,10454.6,3.88,5106.8,1169.2,1921.1,1705.1,15561.4,,,,,,,,,,
