gvkey,fyear,ap,at,capx,cogs,epsfx,gp,invt,ni,rect,sale,calc_ap_value,calc_at_value,calc_capx_value,calc_cogs_value,calc_epsfx_value,calc_gp_value,calc_invt_value,calc_ni_value,calc_rect_value,calc_sale_value
1257,2019,31.756,1265.511,0.0,121.089,11.74,105.261,0.0,60.075,172.468,226.35,,,,,,,,,,
1257,2022,48.785,1397.776,0.0,120.243,11.24,85.571,0.0,57.632,132.202,205.814,53.62451190326236,10.451509311258464,,-0.6986596635532573,-4.258943781942079,-18.705883470611145,,-4.066583437369962,-23.34693972215135,-9.072675060746633
1266,2019,4.163,417.388,20.0,64.05,5.05,58.201,40.143,37.833,0.713,122.251,,,,,,,,,,
1266,2022,3.366,409.255,20.867,69.63,1.65,22.317,27.682,12.459,1.44,91.947,-19.144847465769878,-1.9485466759945138,4.335000000000004,8.711943793911004,-67.32673267326733,-61.65529801893438,-31.04152654261017,-67.06843232098961,101.96353436185133,-24.788345289609083
1300,2019,5730.0,58679.0,839.0,22975.0,8.41,13734.0,4421.0,6143.0,7790.0,36709.0,,,,,,,,,,
1300,2022,6329.0,62275.0,766.0,22263.0,7.27,13203.0,5538.0,4966.0,7933.0,35466.0,10.453752181500873,6.128257127762914,-8.700834326579262,-3.0990206746463547,-13.555291319857318,-3.866317169069463,25.2657769735354,-19.16001953442943,1.8356867779204107,-3.3860906044839143
1327,2019,190.5,4839.6,398.4,1353.0,4.89,2023.8,609.7,853.6,465.3,3376.8,,,,,,,,,,
1327,2022,274.2,8873.8,489.4,2290.0,7.81,3195.5,1212.1,1275.2,1094.0,5485.5,43.93700787401574,83.35812877097278,22.841365461847392,69.25351071692535,59.71370143149285,57.89603715782192,98.80268984746594,49.39081537019682,135.11712873415001,62.446695095948826
1380,2019,411.0,21782.0,2829.0,3106.0,-1.37,3389.0,261.0,-408.0,1170.0,6495.0,,,,,,,,,,
1380,2022,285.0,21695.0,2725.0,5089.0,6.77,6235.0,217.0,2096.0,1162.0,11324.0,-30.656934306569344,-0.3994123588283904,-3.67621067515023,63.84417256922086,-594.1605839416059,83.9775745057539,-16.85823754789272,-613.7254901960785,-0.6837606837606838,74.34949961508853
1410,2019,280.7,3692.6,59.6,5718.7,1.91,779.9,0.0,127.4,1085.8,6498.6,,,,,,,,,,
1410,2022,315.6,4868.9,50.8,6717.2,3.41,1089.4,0.0,230.4,1354.5,7806.6,12.433202707516934,31.85560309808806,-14.765100671140946,17.460261947645446,78.53403141361258,39.68457494550585,,80.84772370486655,24.74673052127464,20.127412057981715
