,gvkey,fyear,conm,Symbol,CIK
3665,9555,2019,SEALED AIR CORP,SEE,1012100.0
3690,9771,2019,SMITH (A.O.),AOS,91142.0
3709,9777,2019,SMUCKER (JM) CO,SJM,91419.0
3717,9777,2022,SMUCKER (JM) CO,SJM,91419.0
3720,9778,2019,SNAP-ON INC,SNA,91440.0
3762,9846,2019,EDISON INTERNATIONAL,EIX,827052.0
3780,9850,2019,SOUTHERN CO,SO,92122.0
3816,9882,2019,SOUTHWEST AIRLINES,LUV,92380.0
3825,10016,2019,STANLEY BLACK & DECKER INC,SWK,93556.0
3843,10115,2019,STRYKER CORP,SYK,310764.0
3859,10407,2019,TELEFLEX INC,TFX,96943.0
3871,10453,2019,TERADYNE INC,TER,97210.0
3912,10499,2019,TEXAS INSTRUMENTS INC,TXN,97476.0
3918,10519,2019,TEXTRON INC,TXT,217346.0
4005,10530,2019,THERMO FISHER SCIENTIFIC INC,TMO,97745.0
4017,10614,2019,GLOBE LIFE INC,GL,320335.0
4053,10793,2019,TYSON FOODS INC  -CL A,TSN,100493.0
4104,10793,2022,TYSON FOODS INC  -CL A,TSN,100493.0
4121,10860,2019,AMEREN CORP,AEE,1002910.0
4174,10867,2019,UNION PACIFIC CORP,UNP,100885.0
4187,10903,2019,UNITEDHEALTH GROUP INC,UNH,731766.0
4193,10920,2019,UNITED PARCEL SERVICE INC,UPS,1090727.0
4196,10983,2019,RAYTHEON TECHNOLOGIES CORP,RTX,101829.0
4317,11032,2019,UNIVERSAL HEALTH SVCS INC,UHS,352915.0
4371,11060,2019,VF CORP,VFC,103379.0
4435,11060,2022,VF CORP,VFC,103379.0
4456,11228,2019,VULCAN MATERIALS CO,VMC,1396009.0
4489,11259,2019,WALMART INC,WMT,104169.0
4513,11259,2022,WALMART INC,WMT,104169.0
4521,11264,2019,WALGREENS BOOTS ALLIANCE INC,WBA,1618921.0
4532,11264,2022,WALGREENS BOOTS ALLIANCE INC,WBA,1618921.0
4535,11376,2019,WEST PHARMACEUTICAL SVSC INC,WST,105770.0
4556,11399,2019,WESTERN DIGITAL CORP,WDC,106040.0
4574,11399,2022,WESTERN DIGITAL CORP,WDC,106040.0
4580,11456,2019,WEYERHAEUSER CO,WY,106535.0
4592,11465,2019,WHIRLPOOL CORP,WHR,106640.0
4598,11506,2019,WILLIAMS COS INC,WMB,107263.0
4599,11550,2019,WEC ENERGY GROUP INC,WEC,783325.0
4659,11554,2019,ALLIANT ENERGY CORP,LNT,352541.0
4692,11672,2019,TJX COS INC (THE),TJX,109198.0
4709,11672,2022,TJX COS INC (THE),TJX,109198.0
4715,12142,2019,ORACLE CORP,ORCL,1341439.0
4742,12142,2022,ORACLE CORP,ORCL,1341439.0
4751,12441,2019,GARTNER INC,IT,749251.0
4778,12459,2019,NVR INC,NVR,906163.0
4783,12540,2019,ADOBE INC,ADBE,796343.0
4788,12540,2022,ADOBE INC,ADBE,796343.0
4789,13125,2019,HEALTHPEAK PROPERTIES INC,PEAK,765880.0
4846,13421,2019,CADENCE DESIGN SYSTEMS INC,CDNS,813672.0
4848,13700,2019,DENTSPLY SIRONA INC,XRAY,818479.0
4856,13721,2019,ZOETIS INC,ZTS,1555280.0
4933,13824,2019,FAIR ISAAC CORP,FICO,814547.0
4974,13824,2022,FAIR ISAAC CORP,FICO,814547.0
4984,14225,2019,FASTENAL CO,FAST,815556.0
4993,14282,2019,AMPHENOL CORP,APH,820313.0
5051,14359,2019,PIONEER NATURAL RESOURCES CO,PXD,1038357.0
5065,14590,2019,FREEPORT-MCMORAN INC,FCX,831259.0
5068,14822,2019,BERKLEY (W R) CORP,WRB,11544.0
5074,14824,2019,CINCINNATI FINANCIAL CORP,CINF,20286.0
5179,14960,2019,LABORATORY CP OF AMER HLDGS,LH,920148.0
5212,15267,2019,IDEX CORP,IEX,832101.0
5331,15414,2019,BIO-TECHNE CORP,TECH,842023.0
5334,15414,2022,BIO-TECHNE CORP,TECH,842023.0
5335,15417,2019,BROWN & BROWN INC,BRO,79282.0
5350,15855,2019,GEN DIGITAL INC,GEN,849399.0
5354,15855,2022,GEN DIGITAL INC,GEN,849399.0
5355,16101,2019,ABBVIE INC,ABBV,1551152.0
5361,16721,2019,ELECTRONIC ARTS INC,EA,712515.0
5373,16721,2022,ELECTRONIC ARTS INC,EA,712515.0
5377,17874,2019,T-MOBILE US INC,TMUS,1283699.0
5389,17928,2019,IQVIA HOLDINGS INC,IQV,1478242.0
5424,18043,2019,NEWS CORP,NWSA,1564708.0
5425,18043,2019,NEWS CORP,NWS,1564708.0
5448,18043,2022,NEWS CORP,NWSA,1564708.0
5449,18043,2022,NEWS CORP,NWS,1564708.0
5456,18699,2019,PTC INC,PTC,857005.0
5474,18699,2022,PTC INC,PTC,857005.0
5479,20228,2019,CATALENT INC,CTLT,1596783.0
5482,20228,2022,CATALENT INC,CTLT,1596783.0
5483,20232,2019,KEYSIGHT TECHNOLOGIES INC,KEYS,1601046.0
5514,20232,2022,KEYSIGHT TECHNOLOGIES INC,KEYS,1601046.0
5523,20748,2019,ARISTA NETWORKS INC,ANET,1596532.0
5530,20779,2019,CISCO SYSTEMS INC,CSCO,858877.0
5533,20779,2022,CISCO SYSTEMS INC,CSCO,858877.0
5534,20904,2019,HOLOGIC INC,HOLX,859737.0
5562,20904,2022,HOLOGIC INC,HOLX,859737.0
5570,22260,2019,HCA HEALTHCARE INC,HCA,860730.0
5597,22815,2019,TRIMBLE INC,TRMB,864749.0
5645,23119,2019,SOLAREDGE TECHNOLOGIES INC,SEDG,1419612.0
5653,23812,2019,REGENERON PHARMACEUTICALS,REGN,872589.0
5668,24197,2019,IDEXX LABS INC,IDXX,874716.0
5689,24216,2019,AES CORP (THE),AES,874761.0
5695,24316,2019,MONSTER BEVERAGE CORP,MNST,865752.0
5749,24344,2019,VERTEX PHARMACEUTICALS INC,VRTX,875320.0
5759,24405,2019,ZEBRA TECHNOLOGIES CP  -CL A,ZBRA,877212.0
5768,24468,2019,BIOGEN INC,BIIB,875045.0
5771,24616,2019,PAYPAL HOLDINGS INC,PYPL,1633917.0
5780,24617,2019,OLD DOMINION FREIGHT,ODFL,878927.0
5789,24856,2019,GILEAD SCIENCES INC,GILD,882095.0
5801,24925,2019,ROPER TECHNOLOGIES INC,ROP,882835.0
5857,24975,2019,SYNOPSYS INC,SNPS,883241.0
5860,24975,2022,SYNOPSYS INC,SNPS,883241.0
5861,25119,2019,MOHAWK INDUSTRIES INC,MHK,851968.0
5900,25124,2019,LINDE PLC,LIN,1707925.0
5951,25279,2019,BOSTON SCIENTIFIC CORP,BSX,885725.0
5957,25313,2022,STERIS PLC,STE,1757898.0
5958,25434,2019,STARBUCKS CORP,SBUX,829224.0
5982,25434,2022,STARBUCKS CORP,SBUX,829224.0
5990,26061,2019,MATCH GROUP INC,MTCH,891103.0
6000,26156,2019,HEWLETT PACKARD ENTERPRISE,HPE,1645590.0
6003,26156,2022,HEWLETT PACKARD ENTERPRISE,HPE,1645590.0
6004,26590,2019,FORTIVE CORP,FTV,1659166.0
6089,27914,2019,HUMANA INC,HUM,49071.0
6092,27965,2019,MICROCHIP TECHNOLOGY INC,MCHP,827054.0
6116,27965,2022,MICROCHIP TECHNOLOGY INC,MCHP,827054.0
6123,28180,2019,O'REILLY AUTOMOTIVE INC,ORLY,898173.0
6132,28191,2019,ROYAL CARIBBEAN GROUP,RCL,884887.0
6144,28192,2019,HOWMET AEROSPACE INC,HWM,4281.0
6182,28320,2019,CDW CORP,CDW,1402057.0
6209,28349,2019,ALLSTATE CORP,ALL,899051.0
6261,28742,2019,BORGWARNER INC,BWA,908255.0
6307,28790,2019,LAMB WESTON HOLDINGS INC,LW,1679273.0
6313,28790,2022,LAMB WESTON HOLDINGS INC,LW,1679273.0
6315,28877,2019,KEURIG DR PEPPER INC,KDP,1418135.0
6318,28930,2019,MARRIOTT INTL INC,MAR,1048286.0
6324,29028,2019,COSTCO WHOLESALE CORP,COST,909832.0
6333,29028,2022,COSTCO WHOLESALE CORP,COST,909832.0
6336,29099,2019,REGENCY CENTERS CORP,REG,910606.0
6427,29392,2019,EASTMAN CHEMICAL CO,EMN,915389.0
6481,29733,2019,MARTIN MARIETTA MATERIALS,MLM,916076.0
6493,29751,2019,ALBEMARLE CORP,ALB,915913.0
6496,29830,2019,WESTROCK CO,WRK,1732845.0
6522,29830,2022,WESTROCK CO,WRK,1732845.0
6540,29875,2019,AVALONBAY COMMUNITIES INC,AVB,915912.0
6560,29984,2019,PROLOGIS INC,PLD,1045609.0
6563,30098,2019,INGERSOLL RAND INC,IR,1699150.0
6600,30822,2019,REALTY INCOME CORP,O,726728.0
6620,30990,2019,CAPITAL ONE FINANCIAL CORP,COF,927628.0
6623,31673,2019,AMERISOURCEBERGEN CORP,ABC,1140859.0
6632,31673,2022,AMERISOURCEBERGEN CORP,ABC,1140859.0
6635,31887,2019,RESMED INC,RMD,943819.0
6644,31887,2022,RESMED INC,RMD,943819.0
6647,32106,2019,BAKER HUGHES CO,BKR,1701605.0
6653,32580,2019,VICI PROPERTIES INC,VICI,1705696.0
6656,34410,2019,MODERNA INC,MRNA,1682852.0
6671,34443,2019,DOW INC,DOW,1751788.0
6680,35168,2019,CORTEVA INC,CTVA,1755672.0
6707,36190,2019,OTIS WORLDWIDE CORP,OTIS,1781335.0
6710,36191,2019,CARRIER GLOBAL CORP,CARR,1783180.0
6722,38821,2019,ORGANON & CO,OGN,1821825.0
6755,60979,2019,WABTEC CORP,WAB,943452.0
6776,61302,2019,ARCH CAPITAL GROUP LTD,ACGL,947484.0
6782,61420,2019,POOL CORP,POOL,945841.0
6798,61483,2019,DAVITA INC,DVA,927066.0
6834,61494,2019,HENRY SCHEIN INC,HSIC,1000228.0
6851,61567,2019,ESTEE LAUDER COMPANIES INC,EL,1001250.0
6858,61567,2022,ESTEE LAUDER COMPANIES INC,EL,1001250.0
6861,61574,2019,WATERS CORP,WAT,1000697.0
6876,61591,2019,NETAPP INC,NTAP,1002047.0
6888,61591,2022,NETAPP INC,NTAP,1002047.0
6892,61739,2019,HARTFORD FINANCIAL SERVICES,HIG,874766.0
6937,63080,2019,ANSYS INC,ANSS,1013462.0
6946,63172,2019,FACTSET RESEARCH SYSTEMS INC,FDS,1013237.0
6956,63172,2022,FACTSET RESEARCH SYSTEMS INC,FDS,1013237.0
6960,64030,2019,STEEL DYNAMICS INC,STLD,1022671.0
6984,64166,2019,QUEST DIAGNOSTICS INC,DGX,1022079.0
7002,64630,2019,TAKE-TWO INTERACTIVE SFTWR,TTWO,946581.0
7011,64630,2022,TAKE-TWO INTERACTIVE SFTWR,TTWO,946581.0
7014,64821,2019,ALEXANDRIA R E EQUITIES INC,ARE,1035443.0
7125,64853,2019,QORVO INC,QRVO,1604778.0
7137,64853,2022,QORVO INC,QRVO,1604778.0
7141,64891,2019,RALPH LAUREN CORP,RL,1037038.0
7178,64891,2022,RALPH LAUREN CORP,RL,1037038.0
7190,65417,2019,YUM BRANDS INC,YUM,1041061.0
7216,65609,2019,C H ROBINSON WORLDWIDE INC,CHRW,1043277.0
7219,65772,2019,METTLER-TOLEDO INTL INC,MTD,1037646.0
7228,66065,2019,UNITED RENTALS INC,URI,1067701.0
7231,66065,2022,UNITED RENTALS INC,URI,1067701.0
7232,66446,2019,QUANTA SERVICES INC,PWR,1050915.0
7248,100243,2019,AMCOR PLC,AMCR,1748790.0
7271,100243,2022,AMCOR PLC,AMCR,1748790.0
7277,105365,2019,AMERICAN TOWER CORP,AMT,1053507.0
7302,110179,2019,VENTAS INC,VTR,740260.0
7332,111864,2019,COGNIZANT TECH SOLUTIONS,CTSH,1058290.0
7382,113490,2019,CROWN CASTLE INC,CCI,1051470.0
7392,114524,2019,EBAY INC,EBAY,1065088.0
7403,117768,2019,NVIDIA CORP,NVDA,1045810.0
7425,117768,2022,NVIDIA CORP,NVDA,1045810.0
7431,118122,2019,APTIV PLC,APTV,1521332.0
7491,119314,2019,BOOKING HOLDINGS INC,BKNG,1075531.0
7494,121077,2019,F5 INC,FFIV,1048695.0
7503,121077,2022,F5 INC,FFIV,1048695.0
7506,121382,2019,SBA COMMUNICATIONS CORP,SBAC,1034054.0
7534,121718,2019,JUNIPER NETWORKS INC,JNPR,1043604.0
7546,126296,2019,EXPEDIA GROUP INC,EXPE,1324424.0
7552,126554,2019,AGILENT TECHNOLOGIES INC,A,1090872.0
7597,126554,2022,AGILENT TECHNOLOGIES INC,A,1090872.0
7612,126721,2019,TELEDYNE TECHNOLOGIES INC,TDY,1094285.0
7665,128978,2019,PACKAGING CORP OF AMERICA,PKG,75677.0
7671,133366,2019,EDWARDS LIFESCIENCES CORP,EW,1099800.0
7674,134932,2019,ON SEMICONDUCTOR CORP,ON,1097864.0
7763,135990,2019,NRG ENERGY INC,NRG,1013871.0
7777,138205,2019,ILLUMINA INC,ILMN,1110803.0
7783,138743,2019,EQUINIX INC,EQIX,1101239.0
7792,139665,2019,MOODY'S CORP,MCO,1059556.0
7816,140541,2019,TAPESTRY INC,TPR,1116132.0
7861,140541,2022,TAPESTRY INC,TPR,1116132.0
7876,141384,2019,ALIGN TECHNOLOGY INC,ALGN,1097149.0
7883,141913,2019,GLOBAL PAYMENTS INC,GPN,1123360.0
7917,142953,2019,MONDELEZ INTERNATIONAL INC,MDLZ,1103982.0
7929,143356,2019,PRUDENTIAL FINANCIAL INC,PRU,1137774.0
7942,143357,2019,ACCENTURE PLC,ACN,1467373.0
7990,143357,2022,ACCENTURE PLC,ACN,1467373.0
8006,144009,2019,WILLIS TOWERS WATSON PLC,WTW,1140536.0
8056,144559,2019,ZIMMER BIOMET HOLDINGS INC,ZBH,1136869.0
8071,145046,2019,ELEVANCE HEALTH INC,ELV,1156039.0
8074,145552,2019,CENTENE CORP,CNC,1071739.0
8091,145977,2019,ADVANCE AUTO PARTS INC,AAP,1158449.0
8094,147579,2019,NETFLIX INC,NFLX,1065280.0
8106,147579,2022,NETFLIX INC,NFLX,1065280.0
8110,148349,2019,TRANSDIGM GROUP INC,TDG,1260221.0
8132,148349,2022,TRANSDIGM GROUP INC,TDG,1260221.0
8139,150937,2019,SEAGATE TECHNOLOGY HOLDINGS,STX,1137789.0
8163,150937,2022,SEAGATE TECHNOLOGY HOLDINGS,STX,1137789.0
8172,152149,2019,MOLINA HEALTHCARE INC,MOH,1179929.0
8201,155394,2019,LKQ CORP,LKQ,1065696.0
8204,157057,2019,ASSURANT INC,AIZ,1267238.0
8210,157855,2019,SALESFORCE INC,CRM,1108524.0
8214,157855,2022,SALESFORCE INC,CRM,1108524.0
8215,160211,2019,DOMINO'S PIZZA INC,DPZ,1286681.0
8218,160225,2019,MASTERCARD INC,MA,1141391.0
8230,160329,2019,ALPHABET INC,GOOGL,1652044.0
8231,160329,2019,ALPHABET INC,GOOG,1652044.0
8248,160888,2019,MONOLITHIC POWER SYSTEMS INC,MPWR,1280452.0
8266,160991,2019,DIGITAL REALTY TRUST INC,DLR,1297996.0
8402,162129,2019,MOSAIC CO,MOS,1285785.0
8423,162254,2019,CELANESE CORP,CE,1306830.0
8459,162887,2019,DEXCOM INC,DXCM,1093557.0
8476,163946,2019,CF INDUSTRIES HOLDINGS INC,CF,1324404.0
8508,165123,2019,LEIDOS HOLDINGS INC,LDOS,1336920.0
8550,165993,2019,FIDELITY NATIONAL INFO SVCS,FIS,1136893.0
8572,170617,2019,META PLATFORMS INC,META,1326801.0
8578,170750,2019,DIAMONDBACK ENERGY INC,FANG,1539838.0
8588,171007,2019,SERVICENOW INC,NOW,1373715.0
8594,175404,2019,FIRST SOLAR INC,FSLR,1274494.0
8597,176928,2019,BROADRIDGE FINANCIAL SOLUTNS,BR,1383312.0
8605,176928,2022,BROADRIDGE FINANCIAL SOLUTNS,BR,1383312.0
8607,177227,2019,INSULET CORP,PODD,1145197.0
8612,177267,2019,TE CONNECTIVITY LTD,TEL,1385157.0
8668,177267,2022,TE CONNECTIVITY LTD,TEL,1385157.0
8687,178507,2019,MSCI INC,MSCI,1408198.0
8699,178704,2019,ULTA BEAUTY INC,ULTA,1403568.0
8702,179437,2019,AMERICAN WATER WORKS CO INC,AWK,1410636.0
8753,179621,2019,PHILIP MORRIS INTERNATIONAL,PM,1413329.0
8757,180405,2019,ACTIVISION BLIZZARD INC,ATVI,718877.0
8846,180652,2019,VERISK ANALYTICS INC,VRSK,1442145.0
8852,180711,2019,BROADCOM INC,AVGO,1730168.0
8873,180711,2022,BROADCOM INC,AVGO,1730168.0
8880,183377,2019,FORTINET INC,FTNT,1262039.0
8889,183736,2019,GENERAC HOLDINGS INC,GNRC,1474735.0
8892,184700,2019,FLEETCOR TECHNOLOGIES INC,FLT,1175454.0
8903,184725,2019,NXP SEMICONDUCTORS NV,NXPI,1413447.0
8938,185532,2019,TARGA RESOURCES CORP,TRGP,1389170.0
8940,186310,2019,HUNTINGTON INGALLS IND INC,HII,1501585.0
