ctype,GICS Sector,srcdate,salecs
MARKET,Communication Services,2019-03-31,0.5908218667712026
MARKET,Communication Services,2019-12-31,27.371385712612703
MARKET,Communication Services,2020-03-31,0.6839436087025538
MARKET,Communication Services,2020-12-31,32.3864282341253
MARKET,Communication Services,2021-03-31,0.7467815657034318
MARKET,Communication Services,2021-12-31,37.44462449599022
MARKET,Communication Services,2022-03-31,0.7760145160945915
MARKET,Consumer Discretionary,2019-01-31,4.150930212431194
MARKET,Consumer Discretionary,2019-03-31,3.739866144941187
MARKET,Consumer Discretionary,2019-05-31,7.264373148721537
MARKET,Consumer Discretionary,2019-06-30,0.12510280874464202
MARKET,Consumer Discretionary,2019-09-30,4.569308603090548
MARKET,Consumer Discretionary,2019-12-31,4.771231002322742
MARKET,Consumer Discretionary,2020-01-31,3.5097007366593633
MARKET,Consumer Discretionary,2020-03-31,3.0922272241721425
MARKET,Consumer Discretionary,2020-05-31,6.950880855101113
MARKET,Consumer Discretionary,2020-06-30,0.07953907090147291
MARKET,Consumer Discretionary,2020-09-30,4.024517893071227
MARKET,Consumer Discretionary,2020-12-31,4.205180780726837
MARKET,Consumer Discretionary,2021-01-31,7.170217359844506
MARKET,Consumer Discretionary,2021-03-31,2.5325310925132816
MARKET,Consumer Discretionary,2021-05-31,8.272878975582483
MARKET,Consumer Discretionary,2021-06-30,0.10694653538968749
MARKET,Consumer Discretionary,2021-09-30,5.119317971981077
MARKET,Consumer Discretionary,2021-12-31,5.282910812849639
MARKET,Consumer Discretionary,2022-01-31,7.150821655007639
MARKET,Consumer Discretionary,2022-03-31,3.3535437391595764
MARKET,Consumer Discretionary,2022-05-31,8.719260689744738
MARKET,Consumer Discretionary,2022-06-30,0.14149144778764883
MARKET,Consumer Discretionary,2022-09-30,5.667221239255726
MARKET,Consumer Staples,2019-01-31,12.357085039314931
MARKET,Consumer Staples,2019-04-30,0.016355399645887884
MARKET,Consumer Staples,2019-08-31,0.7348662131507224
MARKET,Consumer Staples,2019-09-30,4.552105289528633
MARKET,Consumer Staples,2019-10-31,1.086155374141502
MARKET,Consumer Staples,2019-12-31,0.5987751665575297
MARKET,Consumer Staples,2020-01-31,14.147617509573235
MARKET,Consumer Staples,2020-04-30,0.016547295129097764
MARKET,Consumer Staples,2020-08-31,1.2307954875216198
MARKET,Consumer Staples,2020-09-30,4.594666723625182
MARKET,Consumer Staples,2020-10-31,1.09495845642383
MARKET,Consumer Staples,2020-12-31,0.6554808968956739
MARKET,Consumer Staples,2021-01-31,19.349461223662487
MARKET,Consumer Staples,2021-04-30,0.00851474701781257
MARKET,Consumer Staples,2021-08-31,1.687084813517913
MARKET,Consumer Staples,2021-09-30,4.9518875462158745
MARKET,Consumer Staples,2021-10-31,1.294466162830806
MARKET,Consumer Staples,2021-12-31,0.7902933783270181
MARKET,Consumer Staples,2022-01-31,21.87251779809695
MARKET,Consumer Staples,2022-04-30,0.014513941066623882
MARKET,Consumer Staples,2022-08-31,1.954231618428841
MARKET,Consumer Staples,2022-09-30,5.55734239772806
MARKET,Consumer Staples,2022-10-31,1.4342775215997678
MARKET,Financials,2019-12-31,29.719864935362825
MARKET,Financials,2020-12-31,34.7816857064265
MARKET,Financials,2021-12-31,35.49844935821067
MARKET,Health Care,2019-10-31,0.6626541135429113
MARKET,Health Care,2019-12-31,30.41718518527493
MARKET,Health Care,2020-10-31,0.685243136200969
MARKET,Health Care,2020-12-31,31.76236880032529
MARKET,Health Care,2021-10-31,0.8110229214560635
MARKET,Health Care,2021-12-31,34.782607507049946
MARKET,Health Care,2022-10-31,0.8789183361498849
MARKET,Industrials,2019-06-30,0.6309596839390693
MARKET,Industrials,2019-09-30,2.1301689218937963
MARKET,Industrials,2019-12-31,41.73979683036505
MARKET,Industrials,2020-09-30,2.195861382902593
MARKET,Industrials,2020-12-31,22.95304002053066
MARKET,Industrials,2021-09-30,2.220845137745463
MARKET,Industrials,2021-12-31,25.345330048753375
MARKET,Industrials,2022-09-30,0.6243062679752751
MARKET,Industrials,2022-12-31,2.159691705894711
MARKET,Information Technology,2019-01-31,0.5924590769565382
MARKET,Information Technology,2019-03-31,0.22185385712938732
MARKET,Information Technology,2019-04-30,0.19371352322592447
MARKET,Information Technology,2019-06-30,1.5183918933596157
MARKET,Information Technology,2019-08-31,2.608673980769125
MARKET,Information Technology,2019-09-30,11.836129216690768
MARKET,Information Technology,2019-10-31,1.106459565332792
MARKET,Information Technology,2019-12-31,3.39529385524809
MARKET,Information Technology,2020-01-31,0.5885814555635861
MARKET,Information Technology,2020-03-31,0.2187310240717478
MARKET,Information Technology,2020-04-30,0.1773122215309006
