gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
1447,2020,-2895,95046,191367,1479,1479,31713,3.77,6472,3135,0,3135,6472,116992,38185
1447,2021,-2945,93896,188548,1638,1638,31847,10.02,11816,8060,0,8060,11816,144372,43663
1447,2022,-3210,121267,228354,1856,1856,43212,9.85,12413,7514,0,7514,12413,170036,55625
1449,2018,2151,5636,140406,0,0,17430,3.77,4338,2920,0,2920,4338,9716,21768
1449,2019,6615,6535,152768,0,0,17594,4.43,4775,3304,0,3304,4775,12389,22369
1449,2020,8934,6151,165086,0,0,17639,6.67,5076,4778,0,4778,5076,13390,22715
1449,2021,7393,6998,157542,0,0,16433,6.39,4604,4325,0,4325,4604,14389,21037
1449,2022,-4405,6370,131017,0,0,14632,6.59,3446,4201,0,4201,3446,15948,18078
1487,2018,-1413,,491984,0,0,39973,0.04,7587,36,0,-6,7587,94707,47560
1487,2019,4982,,525064,0,0,37687,3.69,11623,3300,0,3348,11623,97569,49310
1487,2020,13511,,586481,0,0,36373,-6.88,6985,-5948,0,-5944,6985,132707,43358
1487,2021,6687,3300,596112,0,0,36091,10.82,15955,9388,0,9388,15955,134980,52046
1487,2022,-22092,,526634,0,0,34996,13.01,21336,10277,0,10276,21336,136817,56332
1526,2018,-99.738,1481.294,26912.353,17.67,17.67,3133.175,5.91,193.207,158.995,0,158.995,193.207,6471.626,3326.382
1526,2019,99.518,1489.979,28597.566,21.402,21.402,3322.606,23.07,747.537,620.363,0,620.363,747.537,6431.284,4070.143
1526,2020,222.17,1575.288,29467.815,39.863,39.863,3201.651,17.38,590.748,467.505,0,467.505,590.748,6598.265,3792.399
1526,2021,147.054,1692.295,31320.321,37.15,37.15,3457.315,26.01,745.799,699.325,0,699.325,745.799,6599.638,4203.114
1545,2018,0,25.576,826.149,95.613,95.613,71.693,10.81,70.908,173.699,0,173.699,58.2,196.435,142.601
1545,2019,0,24.768,830.641,37.152,37.152,32.663,-1,41.262,-15.958,0,-15.958,27.926,242.196,73.925
1545,2020,0,27.299,865.764,17.505,17.505,33.769,0.56,41.238,9.03,0,9.03,30.624,259.961,75.007
1545,2021,0,44.518,770.569,8.07,8.07,34.845,0.21,26.384,3.347,0,3.347,10.442,237.206,61.229
1545,2022,0,53.1,1197.479,18.686,18.686,27.092,23.11,42.214,373.349,0,373.349,32.181,247.793,69.306
1559,2018,0,0.435,57.502,1.577,1.577,5.483,0.17,14.231,1.023,0,1.023,10.237,6.878,19.714
1559,2019,0,0.557,53.783,0.99,0.99,6.344,0.11,14.261,0.659,0,0.659,10.201,7.063,20.605
1559,2020,0,0.683,43.653,0.455,0.455,6.582,-1.14,11.255,-7.058,0,-7.058,6.809,4.575,17.837
1559,2021,0,0.746,45.43,1.674,1.674,6.046,0.03,11.582,0.194,0,0.194,7.051,4.824,17.628
1559,2022,0,0.727,43.956,0.388,0.388,6.638,0.21,13.108,1.328,0,1.328,8.02,4.128,19.746
1562,2018,0,2.448,161.31,1.252,1.252,44.633,0.22,64.073,6.803,0,6.803,12.997,20.294,108.706
1562,2019,0,1.643,171.293,0.42,0.42,44.49,0.21,70.976,6.742,0,6.742,14.151,25.007,115.466
1562,2020,0,1.732,177.157,0.678,0.678,45.03,0.24,66.378,8.089,0,8.089,9.971,26.639,111.408
1562,2021,0,2.506,192.835,0.934,0.934,47.831,0.37,79.722,12.782,0,12.782,17.295,23.608,127.553
1585,2018,-4.507,66.535,593.587,8.05,8.05,252.75,0.81,201.522,24.195,159.895,24.195,51.862,134.029,454.272
1585,2019,-5.698,64.881,670.098,12.985,12.985,272.189,0.46,195.997,13.601,163.313,13.601,40.244,155.848,468.186
1585,2020,-9.322,59.253,680.293,11.249,11.249,266.212,0.51,192.492,15.242,163.784,15.242,38.403,141.519,458.704
1585,2021,-13.784,67.14,694.16,9.518,9.518,321.4,0.61,235.472,18.587,154.306,18.587,55.913,158.921,556.872
1585,2022,-12.182,69,726.313,13.261,13.261,346.125,0.92,263.49,27.404,184.19,27.404,65.184,168.199,609.615
1598,2018,-551.088,399.571,8662.288,82.076,82.076,2986.82,3.34,1859.052,777.933,624.744,777.933,1275.03,791.105,4845.872
1598,2019,-533.139,377.219,9844.559,102.346,102.346,3136.855,3.75,2021.702,861.297,624.567,861.297,1411.422,817.799,5158.557
1598,2020,-504.468,360.37,10357.483,74.199,74.199,2697.512,3.77,1842.517,872.439,559.171,872.439,1327.087,666.443,4540.029
1598,2021,-470.444,470.252,11898.187,110.671,110.671,3341.788,4.25,2204.726,990.053,769.175,990.053,1600.782,924.487,5546.514
1598,2022,-574.945,497.134,12431.12,139.005,139.005,3685.834,5.01,2464.696,1159.542,1044.284,1159.542,1820.119,1039.076,6150.53
1602,2018,-769,1207,66416,738,738,2154,12.62,21593,8394,2940,8394,12509,3580,23747
1602,2019,-528,1371,59707,618,618,2321,12.88,21041,7842,3584,7842,11756,4652,23362
1602,2020,-985,1421,62948,608,608,2719,12.31,22705,7264,3893,7264,12576,5324,25424
1602,2021,-796,1366,61165,880,880,3210,10.28,22769,5893,4086,5893,12518,5839,25979
1602,2022,-231,1572,65121,936,936,3145,12.11,23178,6552,4930,6552,13321,6392,26323
1613,2018,-49.434,38.9,571.119,9.719,9.719,351.839,-3.65,67.593,-45.434,94.196,-69.335,9.525,86.448,419.432
