gvkey,fyear,acominc,ap,at,capx,capxv,cogs,epsfx,gp,ib,invt,ni,oibdp,rect,sale
034834,2019,0,1.338,13.141,.83,.83,0,-.9,0,-13.752,0,-13.752,-12.062,,0
034834,2020,0,1.008,33.801,.834,.834,0,-.77,0,-14.541,.353,-14.541,-14.111,,0
034854,2019,.035,2.79,231.938,3.817,3.817,15.822,-1.81,27.105,-51.109,12.074,-51.109,-50.502,7.377,42.927
034854,2020,.009,1.466,272.042,11.52,11.52,19.128,-1.99,48.661,-65.699,29.859,-65.699,-63.6,11.689,67.789
034854,2021,-.202,3.52,345.682,12.439,12.439,37.859,-.26,199.287,-9.135999999999999,42.978,-9.135999999999999,2.708,37.435,237.146
034854,2022,-.867,6.721,646.0890000000001,25.126,25.126,60.14,5.7,429.593,215.996,75.11199999999999,215.996,128.99,71.366,489.733
034863,2019,-.866,567.611,809.0599999999999,1.317,1.317,11.833,-.05,46.83,-6.589,14.881,-6.589,-4.943,309.153,58.663
034863,2020,2.927,1919.873,2192.317,.978,.978,26.774,.11,111.724,16.065,.5629999999999999,16.065,32.064,1181.112,138.498
034863,2021,6.666,2680.331,3321.419,4.968,4.968,58.061,.09,206.427,14.691,3.903,14.691,37.308,1552.351,264.488
034864,2019,0,.303,305.125,0,0,0,.08,0,2.729,0,2.729,-1.857,0,0
034873,2019,2.725,38.839,5691.383,178.088,178.088,2739.585,-8.91,876.375,-2602.241,0,-2602.241,-2629.48,0,3615.96
034873,2020,-.473,84.108,4678.964,93.639,93.639,1688.477,-5.61,676.204,-1752.857,0,-1752.857,-1606.63,104.7,2364.681
034873,2021,-2.511,129.542,4773.884,79.176,79.176,1950.95,-3.17,1257.373,-1062.144,0,-1062.144,-979.917,196.2,3208.323
034873,2022,-5.754,107.801,4556.431,114.97,114.97,2712.915,-4.47,1382.22,-1584.511,0,-1584.511,-1192.46,278.9,4095.135
034882,2019,.002,1.898,137.402,.535,.535,15.215,-1.72,48.139,-52.415,10.322,-52.415,-27.353,8.601000000000001,63.354
034882,2020,.039,2.598,179.314,.842,.842,20.502,-1.44,54.725,-47.365,9.989000000000001,-47.365,-42.07,9.07,75.227
034882,2021,0,2.379,156.625,4.758,4.758,24.414,-1.44,77.06100000000001,-49.811,17.851,-49.811,-46.436,11.832,101.475
034882,2022,-.166,2.523,269.685,5.005,5.005,35.749,-1.54,102.889,-55.01,19.293,-55.01,-49.877,18.007,138.638
034883,2019,0,2.037,235.233,24.666,24.666,104.125,-1.85,-81.887,-92.877,0,-92.877,-81.887,.965,22.238
034883,2020,0,.792,150.158,5.031,5.031,125.336,-2.09,-101.051,-109.006,0,-109.006,-101.051,10,24.285
034883,2021,0,1.144,211.498,5.053,5.053,145.95,-.52,-30.421,-30.602,0,-30.602,-30.421,.488,115.529
034883,2022,0,1.225,238.169,3.319,3.319,117.666,-1.27,-92.568,-111.637,0,-111.637,-92.568,.72,25.098
034915,2019,-1.479,.294,58.816,2.219,2.219,6.61,.26,17.224,9.074,.125,9.074,10.404,14.403,23.834
034915,2020,1.742,.9360000000000001,75.685,2.206,2.206,15.468,.21,14.723,8.281000000000001,.117,8.281000000000001,10.306,19.581,30.191
034915,2021,2.459,.959,36.512,.143,.143,4.81,-1.01,10.345,-58.63,.109,-57.136,-38.656,16.679,15.155
034916,2019,.649,14.801,202.492,5.531,5.531,109.409,-.16,73.568,-13.06,20.553,-13.06,-11.832,11.633,182.977
034919,2019,1.366,63.286,5095.334,15.781,15.781,446.417,.54,329.149,126.121,0,126.121,329.149,125.98,775.566
034919,2020,4.314,40.244,5679.85,11.49,11.49,475.515,.88,417.144,166.296,0,166.296,417.144,105.765,892.659
034919,2021,1.604,36.132,5990.18,16.878,16.878,539.538,1.09,536.909,226.828,0,226.828,536.909,133.25,1076.447
034919,2022,-10.113,61.072,6260.131,23.214,23.214,581.26,1.48,607.521,309.338,0,309.338,607.521,154.314,1188.781
034920,2019,-4.154,1.549,85.09699999999999,1.159,1.159,33.953,.51,31.109,12.688,2.029,12.688,16.089,30.036,65.062
034920,2020,-.914,8.840999999999999,112.745,2.783,2.783,52.428,.03,19.057,.786,1.785,.786,2.407,34.564,71.485
034920,2021,4.306,12.156,97.426,2.39,2.39,83.59,-1.22,5.899,-49.191,1.39,-49.191,-45.388,29.233,89.489
034937,2019,.521,281.616,409.493,.288,,3.943,-.02,13.037,-.079,0,-.079,4.565,341.98,16.98
034937,2020,1.381,327.381,443.062,.316,,3.654,.18,14.242,1.079,0,1.079,4.926,364.8,17.896
034937,2021,.721,393.243,487.074,.036,,1.44,.45,16.304,2.621,0,2.621,7.286,373.051,17.744
